League,Country,Rank
Primeira Liga,Portugal,1
Premier League,England,1
Unknown,Unknown,Unknown
Bundesliga,Germany,1
3. Liga,Germany,3
EFL League One,England,3
TFF First League,Turkey,1
EFL Championship,England,2
LigaPro,Portugal,2
La Liga,Spain,1
Challenge League,Switzerland,2
Super League,Switzerland,1
Jupiler Pro League,Belgium,1
Liga Profesional Argentina,Argentina,1
2. Bundesliga,Germany,2
Ligue 1,France,1
Premier League 2,England,Unknown
National League,England,5
Ligue 2,France,2
PostNord-ligaen Avd 1,Norway,3
Eliteserien,Norway,1
Austrian Bundesliga,Austria,1
Primera B Nacional,Argentina,2
Tercera División - Group 4,Spain,4
La Liga 2,Spain,2
Major League Soccer,United States,1
Serie A,Italy,1
Brasileirão Série A,Brazil,1
Segunda División B,Spain,3
Papa Johns Trophy,England,Unknown
Championnat National,France,3
1. HNL,Croatia,1
Eredivisie,Netherlands,1
Ukrainian Premier League,Ukraine,1
Campeonato Brasileiro Série B,Brazil,2
Campeonato Brasileiro Série A,Brazil,1
Scottish Premiership,Scotland,1
Super League Greece,Greece,1
NordicBet Liga,Denmark,2
Categoría Primera B,Colombia,2
Liga BetPlay DIMAYOR,Colombia,1
Egyptian Premier League,Egypt,1
Primera División,Uruguay,1
La Liga SmartBank,Spain,2
USL League One,United States,3
Fortuna Liga,Slovakia,1
EFL League Two,England,4
Russian Premier League,Russia,1
J1 League,Japan,1
Süper Lig,Turkey,1
Liga Portugal 2,Portugal,2
Eerste Klasse B,Belgium,2
Division 1 Norra,Sweden,3
Austrian Football Bundesliga,Austria,1
Serie C,Italy,3
Allsvenskan,Sweden,1
1st Division,Denmark,2
Primera Nacional,Argentina,2
Segunda División,Spain,3
Eerste Divisie,Netherlands,2
Serie B,Italy,2
Division 1 Södra,Sweden,3
Scottish Championship,Scotland,2
Ekstraklasa,Poland,1
Botola Pro,Morocco,1
Belgian First Division A,Belgium,1
TFF 1. Lig,Turkey,2
Regionalliga Südwest,Germany,4
2. Liga,Austria,2
Categoría Primera A,Colombia,1
Campeonato de Portugal,Portugal,3
National League South,England,6
Liga MX,Mexico,1
Superliga,Denmark,1
2. HNL,Croatia,2
PrvaLiga,Slovenia,1
Chinese Super League,China,1
K League 1,South Korea,1
Azerbaijan Premier League,Azerbaijan,1
League of Ireland Premier Division,Ireland,1
National 2,France,4
Qatar Stars League,Qatar,1
Hessenliga,Germany,5
Belgian First Division B,Belgium,2
Scottish League One,Scotland,3
I Liga,Poland,2
A-Junioren Bundesliga South/Southwest,Germany,Unknown
U19 Allsvenskan,Sweden,Unknown
Proximus League,Belgium,2
División Profesional,Paraguay,1
Regionalliga Nord,Germany,4
Oberliga Niedersachsen,Germany,5
Primavera 1,Italy,Unknown
Ettan Norra,Sweden,3
National,France,3
Oberliga Rheinland-Pfalz/Saar,Germany,5
A-Junioren Bundesliga West,Germany,Unknown
USL Championship,United States,2
Serbian SuperLiga,Serbia,1
Prva HNL,Croatia,1
Ligat haAl,Israel,1